	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:59:19 2025

	Auto Mode
	Command line used: iozone -a -b -f /shared/test
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
          524288    8192   2553367    714641   1608911   1431378   3272157   2667536   3164495   21446812    4370409   2666394   3109875   2014809   3037380
          524288   16384   2141104   2222154   1731071   1573758   3364984   2915286   2804415   14349834    2677559   2068098   2425395   2513678   2192059

iozone test complete.
Timer resolution is poor. Some small transfers may have 
reported inaccurate results. Sizes 64 kBytes and below.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1734015  1722886  3057153  4564786  1768283 
"128"   1391557  5122535  5784891  6406138  6727225  3277486 
"256"   4929815  4496299  6398720  6107548  5810112  4734192  4496299 
"512"   4099771  6491676  6319739  7435738  7211022  7410080  7871843  4262523 
"1024"   1729884  5564829  7306780  7101400  6441107  6519323  7269678  6918376  2155236 
"2048"   1923059  5884299  6284678  4500161  6802261  7636816  7065219  6802261  4276140  4231899 
"4096"   3609363  6311938  7185807  6930704  7123239  7473388  6682678  6953144  6714018  7249484  4043458 
"8192"   3468296  6455193  6765318  6746720  7243074  6978288  6564962  6866721  7111158  7103807  6547448  3491912 
"16384"   3260431  6514431  7062054  6872081  7086815  6606494  7163647  7297535  6111219  6986664  5354150  5303735  3075686 
"32768"   0  0  0  0  3987343  7374993  7406789  7094060  7430415  7017990  6781480  5308407  3739855 
"65536"   0  0  0  0  3006370  6866659  7043851  7098788  6798388  7117168  7143804  5806853  3934425 
"131072"   0  0  0  0  2130871  3331433  4532393  4392782  4357131  4172124  4004024  3508539  2772542 
"262144"   0  0  0  0  1934415  3048966  3250705  3291450  3392477  3527096  3468383  3016825  2709639 
"524288"   0  0  0  0  1205065  3100736  2874323  2974632  3036185  2978689  2953954  2553367  2141104 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   5735102  15972885  12310336  20962191  30484297 
"128"   8036304  14200794  15881078  18637664  18012359  18637664 
"256"   8534922  13454450  16072608  18259146  12228612  18259146  18259146 
"512"   10044089  13109944  15471149  16543832  17069844  14628067  15037801  18229030 
"1024"   8262639  10429596  13818817  14618393  8199542  14044758  15295157  16468073  13998981 
"2048"   6568203  9932791  11380325  14321195  14840791  15262700  13552946  12561952  16001943  15623582 
"4096"   6243125  10112910  13247835  14318876  13845736  9348033  12718238  8717180  15341830  15341830  9685316 
"8192"   3740525  12154969  10381195  11820445  10925870  8490582  9931117  10530733  10238893  9571475  9214676  6895660 
"16384"   4261195  9587240  10543345  9758786  9481418  10247758  10022083  9548608  10729361  9459231  11199747  11260308  5316044 
"32768"   0  0  0  0  5848265  10919287  11546769  10922758  11295294  9399588  9570420  8779906  7924382 
"65536"   0  0  0  0  5331967  9491048  10394400  9765518  10715733  10063698  11266501  9274883  8539815 
"131072"   0  0  0  0  3657436  4979365  4852736  6085556  6145832  6097232  6882287  6125153  3580705 
"262144"   0  0  0  0  2392782  4359632  4785316  3921032  4588395  4592016  4891026  3819223  4082474 
"524288"   0  0  0  0  2745841  2968821  3048010  2149726  2536924  2569988  2042933  714641  2222154 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   15972885  34389688  64000000  64000000  64000000 
"128"   14200794  20804356  25804035  41924383  41924383  31945770 
"256"   14164395  21134280  28401588  28401588  37275329  31762157  32730347 
"512"   14628067  21303197  26908901  29906870  29906870  13872122  32145217  32145217 
"1024"   9946527  12492426  14044758  25594883  16531459  23754601  15977962  30075602  32098538 
"2048"   8713618  14638464  7444871  17221003  23546602  24697509  20909969  25278959  23041317  22264924 
"4096"   11907264  14072566  14941541  20168765  22002745  19135397  24690613  15880734  23967260  18616995  29276929 
"8192"   12432038  18210533  17622134  21680726  22198999  16961023  16155560  17355106  18706245  16616521  11329356  16616521 
"16384"   10428149  15381035  17864036  17598693  16551708  17082474  16515906  17048570  19255594  20926779  14668586  8312700  4325296 
"32768"   0  0  0  0  18789146  18809717  22186160  16334933  22613252  11795506  11489816  5640880  4602191 
"65536"   0  0  0  0  18259695  16992100  19805587  17599162  19871450  16684743  9621946  5190997  4535354 
"131072"   0  0  0  0  19808303  24740588  22424546  24435974  27386725  23248629  9890041  4812633  4471020 
"262144"   0  0  0  0  22462940  25249541  27771893  27452236  28609418  27655239  16947423  4780946  4424223 
"524288"   0  0  0  0  539865  476475  517698  562136  1270089  1744799  1576151  1608911  1731071 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   12310336  30484297  30484297  64000000  55857768 
"128"   14200794  4557257  31945770  41924383  41924383  31945770 
"256"   14953435  22940409  28401588  31762157  36024719  31762157  36024719 
"512"   14628067  20490142  26908901  34192498  32145217  32145217  31671139  32145217 
"1024"   10990032  16789959  22276143  26380939  24998980  24430194  28480139  29256135  33087664 
"2048"   12959958  18284015  25353571  18641120  26944106  28461804  26944106  26284531  25966707  31955924 
"4096"   11940367  16650294  18616995  27496338  20579482  26077293  28080596  26077293  27321427  28642390  31533938 
"8192"   11683783  17104560  21846143  21735586  23537199  19272845  21776913  23078725  22697588  20638888  18455061  20083951 
"16384"   12109573  15893285  19369571  20737328  18854085  19787884  19137620  21442634  21529968  23375516  21879569  10369924  5616719 
"32768"   0  0  0  0  22096985  20404233  24640326  20191402  25499797  19598283  16093920  6871327  4936423 
"65536"   0  0  0  0  19499304  19499304  21788375  20951370  21836840  18581864  14942422  5630228  4751743 
"131072"   0  0  0  0  21106458  26580330  24005959  26026647  29126435  26156670  22318034  5038509  4616700 
"262144"   0  0  0  0  22378815  26172737  27828829  29110862  29375296  29178846  27690062  4988261  4612049 
"524288"   0  0  0  0  692904  710973  812489  967501  1190762  1511827  1358801  1431378  1573758 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   10821524  15972885  30484297  55857768  64000000 
"128"   9129573  15881078  25804035  31945770  31945770  41924383 
"256"   10245071  16072608  25684103  28401588  29173251  31762157  31762157 
"512"   6821616  16049269  23391616  28707488  4494470  29906870  32145217  32145217 
"1024"   6093831  12492426  18608584  26219889  25594883  26380939  27744245  30075602  30942298 
