Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:38:52 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
           65536     128   6848695   8727444  14087773  16747770  12752511   9362388  13785385   17660220   13846493   8899525   8364407  14045303  16934524
           65536     256   6935090  10195463  15420223  18148780  15761523  10645597  12190353   20378224   16449111   9785682   9056990  16181847  19051955
           65536     512   6925480   9533842  13096405  16995252  14739705   9849146  14218946   21693798   14973353   9209625   8663081  14327896  15907465
           65536    1024   6986916   9837514  16290214  17712568  16375615  10872128  16078675   20127540   16587082  10019313   9441821  14527811  18189613
           65536    2048   6957735   9657442  13591127  16058948  14400707  10354852  11344618   21270760   13985277   9395670   8674564  13323017  16138146
           65536    4096   6763926   9681933   8531068  12341967  11751034  11140023   5367890   19775665   25570500   9774199   9141630   7458198  10830575
           65536    8192   5214137   8630984   5122412   5722116   5007357   9192685   4432241   17760635    8845399   8651629   7572017   4474084   5389994
           65536   16384   3377301   7985574   3464040   3911916   4082983   7446278   3973096    7911110    4306216   7926394   7931426   4087294   4274476
          131072      64   2192937   5346633  17142474  19056449  13949721   4097035  15708742   20968795   13991258   5215364   4916048  17124319  18875862
          131072     128   3950905   5814334  16808606  18748404  16042924   4938482  17230588   21571905   15980434   5025382   4907228  15902774  16591490
          131072     256   3158666   5645538  16553522  17115256  15409333   4487992  16776291   21473321   17241937   4762643   4915169  18191904  19331864
          131072     512   4055687   6166098  16698835  17923232  16784486   4776132  17183195   22007129   17506582   4989805   5355122  17082283  18370013
          131072    1024   4389975   6003090  17852225  18761840  17200937   5797105  16251595   21834937   17655006   4933075   5496139  16726779  18318595
          131072    2048   3813225   3719497   8285718  10632997   9610644   5475938   4276830   20214727   12122828   4413482   5421558  14324837  16501846
          131072    4096   3508897   5497513  10861132  14570090  14058882   5090340  10252849   21236091   11825298   5456102   4608573  11030235  14495942
          131072    8192   3452637   4894209   4871311   5055048   4901365   3748868   4584515   17289655   11296320   4954147   4531272   3891558   2938365
          131072   16384   1886855   3794119   4185464   4167759   4289578   3221166   4032129   10611447    4612478   5029428   4293363   4153212   4256531
          262144      64   1702057   2782905  18793205  19349148  12682993   3520072  16184805   20354614   14171373   2438688   3923607  18857993  18982361
          262144     128   3138244   4276677  21958697  22888464  18340842   3717985  20249278   21245039   19183727   4055191   4111479  22168553  22476716
