# iozone -a -b output.xlsx
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Tue Mar 11 12:25:41 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
          131072      64   4678302   7501429  22622015  24090114  17640843  11126676  17467090   25086045   20897855  13030227  12867970  22287272  24467513
          131072     128   8694017  15429227  24909861  27053839  22470374  15587151  21639835   23633410   24019594  13632177  13369286  25008446  26559784
          131072     256   9624946  16246312  26814994  28953098  25460138  16735435  23882899   25857713   26430814  13129498  14279443  25706574  27552807
          131072     512   9110544  17122719  27438667  28462922  26581615  16569987  25133066   25775274   27352660  14386314  11135015  26047610  29063304
          131072    1024   9243973  16631142  27334980  28769763  27288847  17600743  26803228   26765385   27947803  14723838  15149042  27989066  29694370
          131072    2048   9407214  17316885  26639578  28877057  27512819  17429986  25949252   25995879   27279368  14812304  14877644  24453365  29152692
          131072    4096   9092763  16697313  14236180  21537256  21184537  17478752  11132309   23689422   16554020  12390872  12614052  11810563  24815411
          131072    8192   4337672  13151799   4789072   5111829   5500759  14918420   4921417   21147052   14555431  11076683  10304545   4962599   5503071
          131072   16384   5192410  10572876   4289310   4530824   4616700   9701891   4527205   10023113    5118397  10039220   9408663   4452624   4518981
          262144      64   2508314   6373839  23710267  25545202  17347980  13409527  19012559   25174963   19820374  13075133  12842090  25109422  25460613
          262144     128   9025128  15620546  25425875  27707507  22166766  14713948  23382518   24775043   24034193  13835763  13948271  26831226  27292102
          262144     256   9405911  16822443  25895352  24321816  25237370  15709596  25585028   25839364   27198934  14413812  14242414  29293121  29040126
          262144     512   9649426  17660055  28521846  30757457  28112013  16587186  26958854   27355250   28346106  14609740  14949008  30052135  30731667
          262144    1024   8841303  18019225  30069394  30567627  29150223  16701322  29218391   26487359   30044744  14878611  14813662  29785919  30616996
          262144    2048   9916516  17958890  26828607  29843319  29725523  16722659  28287764   26220172   25957709  15141491  15272945  29348636  30093260
          262144    4096   9513831  17189590  20108920  28367315  25920992  17114405  22751589   24667767   27326695  15020074  14623731  18214448  27725673
          262144    8192   8084120  15649449   5269448   5432482   5673615  16874336   4995877   22447347    6933578  11890750  11140860   4985728   5540530
          262144   16384   6033356  11502033   4460895   4774324   4690773  12001331   4328380   11875596    5907611   9206727   8741628   3910322   4642996
          524288      64   3061377   6239747  24928051  24011311  17939084   7893635  17594183   22289173   17249161   9176598  11677564  13324683  23145224
          524288     128   5795538   8341614  25339972  25844772  20009346   8128370  21168919   20504897   19304273  10470651   8680955  25627608  27087970
          524288     256   5264148   8131135  24964841  26451294  24843002   9963685  25583780   26590428   26136281   8990180   8949822  27557785  29667696
          524288     512   6894617  15309928  30391801  29816130  27386527  10526588  27197523   27256855   28759760  12055664  12635028  30533590  30649345
          524288    1024   7776670  14983518  29831500  30997128  28129924    362043  27690343   27732598   29622536  11998306   9759261  28039894  28624615
          524288    2048   5752497  10791385  26759007  29736700  29780596  11328350  24335760   27612805   30119560  12163559  10078580  26109903  30707123
          524288    4096   6961648  14246548  23358874  27932331  26085435  10857079  17368506   26335353   28107632  12086210  12144481  23632500  28814781
          524288    8192   8432587  13036130   5019984   5396299   5331601  12138314   5060067   23163753    8103867   9929851   9623826   4846889   5319259
          524288   16384   4316763  10366990   4594864   4738346   4722553   9548482   4566051   13897303    6645546   7683793    243056   4565331   4692873

iozone test complete.
Timer resolution is poor. Some small transfers may have 
reported inaccurate results. Sizes 64 kBytes and below.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   524487  4897948  6421025  7100397  6421025 
"128"   1598754  6406138  7476717  7582312  7917784  6114306 
"256"   1652404  6719046  8271916  8271916  8815202  8534922  8534922 
"512"   1337324  5331314  6414119  8808176  8701110  8955098  8992598  9145790 
"1024"   1414304  7369466  8326715  3324778  9300377  8525047  7769397  9064828  9485232 
"2048"   1984365  7846081  8565901  9483197  9218589  9431138  9708272  9898453  9796850  3246623 
"4096"   2618560  8096815  8734909  9440496  9312562  9524234  9524234  9729195  9729195  9503161  3709909 
"8192"   3064876  7891886  8856046  9942612  9834473  9447779  9764602  9928248  9965682  9406396  8191020  3668636 
"16384"   3487447  6751231  7858319  8419641  8351087  8371434  8551659  8308679  8123056  7659492  6239394  4837081  2347954 
"32768"   0  0  0  0  3756516  8299551  8522391  8225047  8208346  7863627  6390189  5355987  3958403 
"65536"   0  0  0  0  4546081  7635538  7734584  9073433  8445359  9040904  7459007  6962317  4626576 
"131072"   0  0  0  0  4678302  8694017  9624946  9110544  9243973  9407214  9092763  4337672  5192410 
"262144"   0  0  0  0  2508314  9025128  9405911  9649426  8841303  9916516  9513831  8084120  6033356 
"524288"   0  0  0  0  3061377  5795538  5264148  6894617  7776670  5752497  6961648  8432587  4316763 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   7940539  10821524  12902017  12902017  20962191 
"128"   9795896  11720614  14200794  15881078  25804035  18012359 
